it=2960000 best=31 cs=40 T=0.4513
it=2970000 best=31 cs=45 T=0.4491
it=2980000 best=31 cs=42 T=0.4468
it=2990000 best=31 cs=38 T=0.4446
it=3000000 best=25 cs=38 T=0.4424
it=3010000 best=25 cs=40 T=0.4401
it=3020000 best=25 cs=51 T=0.4379
it=3030000 best=25 cs=39 T=0.4358
it=3040000 best=25 cs=36 T=0.4336
it=3050000 best=25 cs=36 T=0.4314
it=3060000 best=25 cs=39 T=0.4293
it=3070000 best=25 cs=32 T=0.4271
it=3080000 best=20 cs=27 T=0.4250
it=3090000 best=20 cs=30 T=0.4228
it=3100000 best=20 cs=30 T=0.4207
it=3110000 best=20 cs=22 T=0.4186
it=3120000 best=20 cs=26 T=0.4165
it=3130000 best=20 cs=24 T=0.4145
it=3140000 best=20 cs=29 T=0.4124
it=3150000 best=20 cs=33 T=0.4103
it=3160000 best=20 cs=49 T=0.4083
it=3170000 best=20 cs=37 T=0.4062
it=3180000 best=20 cs=27 T=0.4042
